topic,term,beta
1,advare,2.281670011963627e-6
2,advare,4.1837267681448366e-4
3,advare,8.631162607620357e-5
4,advare,4.615403781469089e-4
5,advare,0.0016049462197149716
6,advare,9.568771541613869e-4
7,advare,0.0015520442914130441
8,advare,1.6760179996895222e-4
1,alvorligt,2.1963489399370593e-4
2,alvorligt,1.596561472249576e-4
3,alvorligt,6.233743992637774e-4
4,alvorligt,1.3014395537298455e-6
5,alvorligt,8.462130394978563e-4
6,alvorligt,3.247112797240318e-4
7,alvorligt,0.0014425872009974441
8,alvorligt,2.727462432010077e-4
1,år,0.019851999495316384
2,år,0.020860411855506352
3,år,0.01922446084259288
4,år,0.006294520082270657
5,år,0.007911547415054064
6,år,0.019321914059909136
7,år,0.010039798323570897
8,år,0.013460778368183825
1,beskrive,0.0013764114655258482
2,beskrive,5.997395946276839e-6
3,beskrive,8.216069888369133e-4
4,beskrive,1.9452567380769144e-4
5,beskrive,6.749604658986915e-4
6,beskrive,1.8328102871083632e-4
7,beskrive,0.001928493016426466
8,beskrive,0.0011284987429521288
1,bred,0.0011779393474265923
2,bred,9.437978799333996e-5
3,bred,8.045228095200066e-4
4,bred,2.52584574568579e-4
5,bred,0.001999168013180255
6,bred,5.526097453038518e-5
7,bred,9.606924542435848e-4
8,bred,7.499275763034273e-4
1,busin,2.065536941843693e-21
2,busin,7.500935307744865e-5
3,busin,4.5583310551470344e-17
4,busin,1.0285540026058986e-8
5,busin,0.0035261422080943355
6,busin,2.308113215162786e-12
7,busin,7.064622773916623e-8
8,busin,1.213365572471799e-24
1,Christiansborg,6.367582194429721e-4
2,Christiansborg,1.2526061214990152e-4
3,Christiansborg,2.884755364425389e-7
4,Christiansborg,9.176899500379687e-10
5,Christiansborg,9.248758854645974e-4
6,Christiansborg,2.826728924725987e-5
7,Christiansborg,4.887603642514117e-4
8,Christiansborg,2.2012206833933073e-5
1,dansk,0.008667168223442143
2,dansk,0.016369605032498843
3,dansk,0.005519648956632656
4,dansk,5.046444883597737e-4
5,dansk,0.015115937716210042
6,dansk,0.011858151707154556
7,dansk,0.012635673774744772
8,dansk,0.00645795213891776
1,erhvervsliv,9.016161966792311e-7
2,erhvervsliv,6.183298413911357e-14
3,erhvervsliv,1.318029122221526e-4
4,erhvervsliv,5.172794392143943e-6
5,erhvervsliv,0.0018743280626834574
6,erhvervsliv,5.733200373578132e-4
7,erhvervsliv,6.988093053246552e-5
8,erhvervsliv,3.5794200653301906e-5
1,familie,0.0018995748687603562
2,familie,3.5196324324599095e-4
3,familie,0.011373476100500575
4,familie,5.693468165671775e-4
5,familie,5.877731670661941e-4
6,familie,0.0011457704958995924
7,familie,2.2093843235115719e-4
8,familie,1.3901296051775902e-4
1,forhindre,3.8757822765518514e-4
2,forhindre,7.374318015040409e-7
3,forhindre,8.436153737141465e-5
4,forhindre,5.84757235583555e-12
5,forhindre,2.4440483128396927e-4
6,forhindre,3.254859593733734e-4
7,forhindre,0.0010957580344964125
8,forhindre,2.0258101918382303e-4
1,forsøg,5.290398814199498e-4
2,forsøg,5.210500563724561e-4
3,forsøg,4.6756360721365244e-5
4,forsøg,0.0014085717432555365
5,forsøg,1.9346071210388167e-4
6,forsøg,1.5779729716933473e-4
7,forsøg,6.256649643084099e-4
8,forsøg,6.024848054989753e-4
1,frygt,0.001287522084831983
2,frygt,5.6246399231169184e-5
3,frygt,3.447838702686064e-4
4,frygt,2.2734485531231672e-4
5,frygt,0.0012181314961561159
6,frygt,2.936237016648272e-4
7,frygt,5.486928708628472e-4
8,frygt,3.70248636642341e-5
1,gå,0.0033645958692515303
2,gå,0.006974299137792147
3,gå,0.012599549255533924
4,gå,0.007889060755734452
5,gå,0.00807886802731528
6,gå,0.008590136197759852
7,gå,0.00597300182516914
8,gå,0.01080315733953407
1,gerne,6.023183714073313e-4
2,gerne,0.0022707000315607294
3,gerne,0.0028703461594729125
4,gerne,6.437860671197248e-4
5,gerne,0.0012869257170734865
6,gerne,0.0016192587447626861
7,gerne,5.545828831512912e-4
8,gerne,0.001658943469997333
1,grad,0.0042364730177961085
2,grad,3.2612492999776593e-4
3,grad,1.6442136315233233e-4
4,grad,3.9861367812617677e-4
5,grad,0.0019648657636111215
6,grad,0.001500064235177221
7,grad,5.850408428373346e-4
8,grad,0.001961761729399376
1,grøn,1.6904134785800958e-4
2,grøn,2.9584978649399384e-9
3,grøn,6.056471196549082e-5
4,grøn,5.778235962892122e-4
5,grøn,0.010296129787758772
6,grøn,0.003145523350227063
7,grøn,1.0955908454861885e-5
8,grøn,3.791409843745787e-4
1,gruppe,0.002334712077352361
2,gruppe,0.001293757704375996
3,gruppe,0.0010626898995946355
4,gruppe,7.245384003549736e-4
5,gruppe,6.812663162583975e-4
6,gruppe,0.0013153029212328792
7,gruppe,0.0025661495109459715
8,gruppe,4.202782800092549e-4
1,høj,0.00390839439905913
2,høj,6.452642547786944e-4
3,høj,0.001380656530141009
4,høj,8.411617385319684e-4
5,høj,0.0027748862376699773
6,høj,0.006752907203486791
7,høj,7.722974816028847e-4
8,høj,0.0028618821761917978
1,hus,3.230789550656418e-5
2,hus,7.439020555282784e-4
3,hus,0.0031226363450095208
4,hus,0.0025866631060143443
5,hus,5.8380788824628135e-5
6,hus,0.00172361126211769
7,hus,1.8110342564327616e-4
8,hus,6.23432503369167e-6
1,Jensen,1.3250400574211145e-6
2,Jensen,0.0016963767736829177
3,Jensen,0.005197848148719447
4,Jensen,8.756415209157373e-11
5,Jensen,9.515793029298038e-4
6,Jensen,4.198131499165363e-4
7,Jensen,3.570187268011516e-4
8,Jensen,9.342408867133121e-4
1,job,2.661524911673412e-5
2,job,8.082977946424127e-4
3,job,0.001378296241225045
4,job,1.5995651991292437e-4
5,job,0.0021357876026606845
6,job,2.5063865949773287e-4
7,job,5.831673492511086e-4
8,job,5.377439730036366e-4
1,klar,8.184307789415656e-4
2,klar,0.003990189114351213
3,klar,0.0013289981166483315
4,klar,0.0021071638389543765
5,klar,0.0026549355392083865
6,klar,0.0022664880277153045
7,klar,0.0037373201390085574
8,klar,0.0010393569016422844
1,klima,2.80886191620755e-4
2,klima,3.6472264224618345e-17
3,klima,2.749645771545644e-5
4,klima,2.324517936011317e-7
5,klima,0.00489736436645105
6,klima,0.0015010819665216561
7,klima,8.369168629414387e-7
8,klima,2.1860278531788955e-4
1,koste,3.256031585192114e-5
2,koste,0.0011651211848051153
3,koste,8.032149650793875e-4
4,koste,8.775161545780497e-4
5,koste,0.0015262222124311372
6,koste,0.002154878279292936
7,koste,1.0755054390947833e-4
8,koste,4.8137491594420597e-4
1,kvinde,0.0038001858627020125
2,kvinde,3.9527969642920083e-4
3,kvinde,0.004229515340725006
4,kvinde,0.005570180879300374
5,kvinde,2.0885130157552472e-4
6,kvinde,3.71416290765296e-7
7,kvinde,0.008719350052830206
8,kvinde,0.003698676121354496
1,lægge,6.96408322471928e-4
2,lægge,0.0017766434481430546
3,lægge,0.0026414493943690363
4,lægge,6.73920759475688e-4
5,lægge,0.0018161214985060474
6,lægge,0.002035283234438213
7,lægge,0.002322679761608484
8,lægge,0.0024102688507373856
1,liv,0.0027503377097561474
2,liv,0.0017549855011866119
3,liv,0.0081352473280293
4,liv,0.0019746574472328474
5,liv,9.061314393115506e-4
6,liv,7.809187074814448e-4
7,liv,2.736168396079673e-6
8,liv,0.0071718651950089035
1,mærke,1.2408143353124005e-4
2,mærke,9.418743361373894e-4
3,mærke,0.0020552656606361045
4,mærke,8.634054166679438e-4
5,mærke,1.1469689573886347e-4
6,mærke,5.426039202690912e-4
7,mærke,5.753451374207161e-4
8,mærke,6.503236263330087e-4
1,menneske,0.008106884918150108
2,menneske,2.359115909061704e-4
3,menneske,0.0028818076342446747
4,menneske,0.0018665314872100363
5,menneske,0.0012745048625749174
6,menneske,5.792838630749086e-4
7,menneske,1.4945489162716507e-4
