1,2,3,4,5,6,7,8
år,år,barn,USA,dansk,år,sag,år
Danmark,kamp,år,Trump,regering,Aarhus,Kina,gå
land,dansk,gå,amerikansk,parti,kommune,dansk,bog
dag,klub,familie,Iran,politisk,krone,Danmark,verden
kirke,spille,dag,præsident,grøn,Danmark,politi,menneske
mene,Eriksen,ung,land,Danmark,dansk,år,skrive
dansk,vinde,forælder,stemme,gå,penge,kvinde,tid
menneske,første,gang,Donald,venstre,by,rapport,historie
kristen,sidste,give,gå,nyhed,gå,person,liv
vise,dansker,liv,Irak,år,EU,skole,dansk
tro,Christian,tale,dag,bruge,land,elev,give
læge,dag,tid,valg,mene,høj,kinesisk,dag
dansker,Danmark,stå,politisk,politiker,mene,museum,gang
universitet,hold,mor,Sanders,Frederiksen,give,gå,sted
folkekirke,spiller,hjem,iransk,Mette,dag,vise,folk
procent,FC,arbejde,demokrat,sætte,regering,land,stå
debat,mål,sted,år,give,bil,dag,fortælle
sen,gang,første,Rusland,stå,vej,fortælle,forfatter
tid,sæson,finde,stå,politik,stå,stå,tale
kristelig,Brøndby,dansk,kvinde,vise,vise,skrive,gammel
