1,2,3,4,5,6,7,8
krise,Sanders,Danmark,regering,år,film,barn,dansk
land,Trump,smitte,politisk,tid,menneske,danser,Danmark
økonomisk,Tyrkiet,lukke,parti,dag,gå,læge,spille
gå,Fox,dansk,stå,liv,år,arbejde,kamp
stå,præsident,land,dag,menneske,tid,år,år
økonomi,EU,regering,gang,gå,sted,ung,klub
dag,grænse,myndighed,gå,tro,smitte,fortælle,coronavirus
virksomhed,News,Mette,medie,holde,stå,gå,holde
EU,flygtning,Frederiksen,information,verden,gammel,dansk,aflyse
samfund,år,sundhedsstyrelse,leder,kirke,liv,syg,virksomhed
Italien,politisk,teste,arbejde,bog,tale,stå,dag
patient,Biden,coronavirus,venstre,land,ord,løn,coronakrise
verden,parti,samfund,alternativ,Danmark,holde,forælder,gå
gammel,Bernie,dag,skrive,skrive,Jesus,dag,uge
coronakrise,dag,statsminister,tid,mene,festival,Danmark,ramme
år,demokrat,syg,grøn,sted,kunst,krone,lukke
situation,stemme,tiltag,Mogensen,forfatter,død,skrive,krone
europæisk,vinde,dansker,frem,give,dag,sted,gang
Europa,USA,WHO,dansk,stå,kommune,hospital,sætte
Kina,vælger,befolkning,mene,folk,kunstner,teste,EM
